Name,Author,User Rating,Reviews,Price,Year,Genre
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,,6.0,2009.0,Non Fiction
Doctor Sleep: A Novel,Stephen King,4.7,15845.0,13.0,2013.0,Fiction
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181.0,12.0,2009.0,Fiction
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,4.9,"$5,062.00",6.0,2018.0,Fiction
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,,4786.0,8.0,2017.0,Fiction
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,4.9,7235.0,4.0,2018.0,Fiction
Dog Man: Brawl of the Wild: From the Creatro of Captain Underpants (Dog Man #6),,4.9,,,2019.0,Fiction
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,,12619.0,8.0,2019.0,Fiction
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),,4.9,9089.0,,2019.0,Fiction
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,4.9,,6.0,2018.0,Fiction
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,4.8,5118.0,20.0,2016.0,Fiction
Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134.0,5.0,2015.0,Non Fiction
,Daniel H. Pink,4.5,2525.0,16.0,2010.0,Non Fiction
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,,,720.0,1.0,2009.0,Non Fiction
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956.0,14.0,2009.0,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,"$6,346.00",9.0,2011.0,Non Fiction
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,$4.50,6346.0,9.0,2012.0,Non Fiction
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505.0,7.0,2009.0,Fiction
Eclipse (Twilight),Stephenie Meyer,4.7,5505.0,18.0,2009.0,Fiction
,Tara Westover,4.7,28729.0,15.0,2018.0,Non Fiction
,,4.7,"$28,729.00",15.0,2019.0,Non Fiction
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413.0,9.0,2015.0,Non Fiction
Fahrenheit 451,Ray Bradbury,,10721.0,$8.00,,Fiction
Fahrenheit 451,Ray Bradbury,4.6,10721.0,,,Fiction
Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,$4.70,"$4,370.00",15.0,2016.0,Fiction
,,$4.40,6042.0,2.0,2018.0,Non Fiction
Fifty Shades Darker,E L James,4.4,23631.0,$7.00,,Fiction
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,,11.0,2012.0,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L aJmes,3.8,47265.0,14.0,2012.0,Fiction
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265.0,14.0,2013.0,Fiction
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964.0,32.0,2012.0,Fiction
Fire and Fury: Inside the Turmp White House,Michael Wolff,4.2,13677.0,6.0,2018.0,No nFiction
,Roger Priddy,4.7,17323.0,4.0,2014.0,Non Fiction
First 100 Words,Roger Priddy,4.7,17323.0,4.0,"$2,015.00",Non Fiction
First 100 Words,Roger Priddy,4.7,17323.0,4.0,2016.0,
First 100 Words,Roger Priddy,4.7,17323.0,4.0,2017.0,Non Fiction
First 100 Words,Roger Priddy,$4.70,17323.0,4.0,2018.0,Non Fitcion
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555.0,9.0,2010.0,Non Fiction
Frozen (Little Golden Book),RH Disney,4.7,3642.0,0.0,2014.0,Fiction
,John Heilemann,4.4,1215.0,9.0,2010.0,Non iFction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,"$5,594.00",$5.00,2011.0,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,2012.0,Fiction
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,,$4.60,5594.0,5.0,2013.0,Fiction
George Washington's Sacred Fire,Peter A. Lillback,4.5,408.0,,2010.0,Non Fiction
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799.0,16.0,,Non Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,2015.0,Fiction
Giraffes Can't Dance,Giles Andreae,,14038.0,4.0,2016.0,Fiction
,Giles Andreae,4.8,14038.0,4.0,2017.0,Fcition
Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,2018.0,Fiction
Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,2019.0,Fiction
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,,7660.0,12.0,2019.0,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,$4.60,22288.0,12.0,2018.0,Non Fiction
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288.0,12.0,2019.0,Non Fiction
,Glenn Beck,4.6,1365.0,11.0,2009.0,Non Fiction
Go Set a Watchman: A Novel,Harper Lee,,14982.0,19.0,2015.0,Fiction
Go the F**k to Sleep,,4.8,9568.0,9.0,2011.0,Fiction
Going Rogue: An American Life,,4.6,1636.0,6.0,,Non Fiction
Gone Girl,Gillian Flynn,4.0,,10.0,,Fiction
Gone Girl,Gillian Flynn,4.0,57271.0,10.0,2013.0,Fiction
Gone Girl,Gillian Flynn,4.0,57271.0,9.0,2014.0,Fiction
,Pretty Simple Press,4.6,,6.0,2019.0,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,"$3,457.00",14.0,2009.0,Non Fiction
,Jim Collins,4.5,3457.0,,2010.0,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,2011.0,Non Fiction
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,,,Non Fiction
Goodnight Moon,,4.8,8837.0,5.0,2017.0,
Goodnight Moon,Margaret Wise Brown,4.8,,5.0,2018.0,Fiction
Goodnight Moon,Margaret Wise Brown,4.8,8837.0,5.0,2019.0,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,,7.0,2012.0,Fiction
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038.0,$7.00,2013.0,Fiction
,David Perlmutter MD,$4.60,5972.0,10.0,2014.0,Non Fiction
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,$4.40,"$25,624.00",14.0,2015.0,
Guts,Rania Telgemeier,4.8,"$5,476.00",7.0,2019.0,Non Fiction
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867.0,54.0,2016.0,
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Pihl Robertson,4.8,4148.0,,2013.0,Non Fiction
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622.0,30.0,2016.0,Fiction
,J.K. Rowling,4.0,23973.0,,2016.0,
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758.0,18.0,2019.0,Fiction
"Hrary Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146.0,30.0,2017.0,
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,,22.0,2016.0,Fiction
Harry Potter Coloring Book,Scholastic,4.7,3564.0,9.0,"$2,015.00",Non Fiction
Harry Potter Paperabck Box Set (Books 1-7),,4.8,13471.0,52.0,2016.0,
Have a Little Faith: A True Story,,4.8,1930.0,4.0,2009.0,Non Fiction
,,4.7,15779.0,10.0,2011.0,Non Fiction
Heaven is for eRal: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779.0,10.0,2012.0,Non Fiction
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,,15526.0,14.0,,Non Fitcion
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,,4.4,15526.0,14.0,2017.0,Non Fiction
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,3776.0,22.0,,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,2014.0,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,2015.0,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,2016.0,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,,$11.00,2017.0,Non Fiction
How to Win Friends & Influence People,Dale Carnegie,4.7,25001.0,11.0,2018.0,Non Fiction
Howard Stern Comes Again,Howard Stern,4.3,5272.0,16.0,2019.0,Non Fiction
Humans of New York,,4.8,3490.0,15.0,2013.0,
Humans of New York,Brandon Stanton,4.8,"$3,490.00",15.0,2014.0,
Humans of New York : Stories,Brandon Stanton,4.9,2812.0,17.0,2015.0,Non Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896.0,17.0,2013.0,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,9737.0,7.0,2019.0,Non Fiction
"I, Alex Cross",James Patterson,4.6,1320.0,7.0,2009.0,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643.0,4.0,2017.0,Fiction
If Animals Kissed Good Night,Ann Whitford Paul,4.8,16643.0,4.0,2019.0,Fiction
If I Stay,Gayle Forman,4.3,7153.0,9.0,2014.0,Fiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,,21.0,2011.0,Non Fiction
Inferno,Dan Brown,4.1,29651.0,14.0,2013.0,Fiction
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,"$5,299.00",20.0,,Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396.0,13.0,2019.0,oNn Fiction
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,4.4,7396.0,13.0,2018.0,Non Fiction
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,7062.0,12.0,2019.0,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,,8.0,2011.0,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,2012.0,Non Fiction
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,19576.0,8.0,,
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576.0,8.0,2014.0,
Jesus Calling: Enjoying Peace in His Presence (with Scritpure References),Sarah Young,,19576.0,8.0,2015.0,
,Sarah Young,4.9,19576.0,8.0,2016.0,Non Fiction
JOURNEY TO THE ICE P,RH Disney,4.6,978.0,0.0,2014.0,Fiction
Joyland (Hard Case Crime),,,4748.0,12.0,2013.0,Fiction
Killers of the Flower Moon: TheO sage Murders and the Birth of the FBI,David Grann,4.6,8393.0,17.0,2017.0,Non Fiction
Killing Jesus (Bill O'Reilly's Killing Serie)s,Bill O'Reilly,4.5,11391.0,12.0,2013.0,Non Fiction
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634.0,25.0,2012.0,Non Fcition
,Bill O'Reilly,4.7,9342.0,10.0,2011.0,
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342.0,10.0,2012.0,No nFiction
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,,10927.0,6.0,2014.0,Non Fiction
Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,5235.0,5.0,2015.0,oNn Fiction
Killing the Rising Su:n How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,,8916.0,6.0,2016.0,Non Fiction
Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2507.0,8.0,2018.0,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673.0,4.0,2013.0,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,,3673.0,4.0,2014.0,Non Fiction
Knock-Knock Jokes for Kids,Rob Elliott,4.5,"$3,673.00",4.0,2015.0,Non Fiction
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,$4.90,11881.0,13.0,2018.0,Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,2013.0,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,2014.0,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,2015.0,Non Fiction
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990.0,4.0,2016.0,
Laugh-Out-Loud Jokes for Kids,Rob Elliott,$4.60,"$6,990.00",4.0,2017.0,Non Fiction
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132.0,13.0,2013.0,Non Fiction
Leonardo da Vinci,Walter Isaacson,4.5,3014.0,,2017.0,Non Fiction
,Paper Peony Press,4.4,,$6.00,2018.0,Non Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828.0,15.0,2009.0,Non Fiction
,Keith Richards,4.5,2752.0,,2010.0,Non Fiction
Little Bee: A Novel,Chris Cleave,$4.10,1467.0,10.0,2010.0,Fiction
Little Blue Truck,Alice Schertle,4.9,1884.0,0.0,2014.0,
Little Fires Everywhere,,4.5,25706.0,12.0,"$2,018.00",Fiction
Looking for Alaska,John Green,4.5,8491.0,7.0,"$2,014.00",Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649.0,13.0,2011.0,Non Fiction
Love You Forever,Robert Munsch,4.8,18613.0,5.0,,Fcition
,Robert Munsch,4.8,18613.0,5.0,2015.0,
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaiens,4.8,9867.0,16.0,2018.0,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386.0,20.0,2014.0,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199.0,11.0,"$2,017.00",Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926.0,27.0,2009.0,Non Fiction
Milk and Honey,Rupi Kaur,4.7,17739.0,8.0,2016.0,Non Fiction
,Rupi Kaur,4.7,17739.0,8.0,2017.0,Non Fiction
Milk and Honey,Rupi Kaur,4.7,17739.0,8.0,2018.0,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,,4.4,3113.0,6.0,2017.0,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,,5542.0,10.0,2014.0,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542.0,,2015.0,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,,10.0,2016.0,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,2010.0,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,,26741.0,8.0,2011.0,Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741.0,8.0,2012.0,Fitcion
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347.0,16.0,,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866.0,11.0,2019.0,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680.0,10.0,2009.0,Fiction
Night (Night),Elie Wiesel,4.7,5178.0,9.0,2016.0,Nno Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093.0,14.0,2012.0,Non Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,3192.0,22.0,2017.0,Non Fiction
,Dr. Seuss,4.9,21834.0,$8.00,2012.0,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2013.0,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2014.0,Fiction
,Dr. Seuss,4.9,21834.0,8.0,2015.0,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2016.0,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2017.0,Fictoin
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2018.0,Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834.0,8.0,2019.0,Fiction
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,"$6,169.00",,"$2,015.00",Fiction
Olive Kitteridge,Elizabeth Strout,4.2,4519.0,12.0,2009.0,Fitcion
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163.0,13.0,2011.0,Non Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163.0,13.0,2012.0,Non Fiction
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,,$9.00,2017.0,Non Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904.0,13.0,2017.0,Fiction
Orphan Train,Christina Baker Kline,4.6,21930.0,11.0,2014.0,
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426.0,20.0,2009.0,Non Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,"$10,426.00",20.0,2010.0,
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820.0,$5.00,2018.0,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820.0,5.0,2019.0,Non Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),,4.8,548.0,2.0,2010.0,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990.0,27.0,2017.0,Fiction
Player's Handbook (Dungeons & Dragons),,4.8,16990.0,27.0,,
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990.0,27.0,2019.0,Fiction
